ds,y
2018-10-19 15:00:00,54.2
2018-10-26 21:00:00,52.13
2018-11-03 15:00:00,62.03
2018-11-09 22:00:00,54.96
2018-11-16 22:00:00,49.01
2018-11-24 16:00:00,46.81
2018-11-30 22:00:00,53.98
2018-12-15 15:00:00,49.55
2018-12-21 20:00:00,46.56
2018-12-28 20:00:00,61.3
2019-01-11 19:00:00,80.36
2019-01-13 19:00:00,61.31
2019-01-17 22:00:00,50.55
2019-01-25 22:00:00,51.15
2019-02-01 22:00:00,63.33
2019-02-08 22:00:00,60.16
2019-02-15 21:00:00,51.35
2019-02-21 22:00:00,52.51
2019-02-28 19:00:00,53.56
2019-03-08 22:00:00,60.7
2019-03-15 21:00:00,51.38
2019-03-22 21:00:00,60.15
2019-03-29 21:00:00,50.16
